Title,Aircraft_Type,Registration,Flight_Number,Incident_Date,Location,Origin,Destination,Cause,Incident_Type,Published_Date,Description
"Indigo A320 at Hyderabad on Mar 14th 2018, engine problem",A320,VT-IFX,6E-334,Mar 14th 2018,Hyderabad,Hyderabad,Raipur,engine problem,Incident,"Mar 15, 2018","An Indigo Airbus A320-200, registration VT-IFX performing flight 6E-334 from Hyderabad to Raipur (India) with 115 people on board, was climbing out…"
"Indigo A20N at Ahmedabad on Mar 12th 2018, engine shut down in flight",A20N,VT-ITA,6E-244,Mar 12th 2018,Ahmedabad,Ahmedabad,Lucknow,engine shut down in flight,Incident,"Mar 12, 2018","An Indigo Airbus A320-200N, registration VT-ITA performing flight 6E-244 from Ahmedabad to Lucknow (India) with 186 people on board, was climbing out…"
"Indigo A20N at Mumbai on Mar 1st 2018, engine shut down in flight",A20N,VT-ITJ,6E-395,Mar 1st 2018,Mumbai,Mumbai,Kolkata,engine shut down in flight,Incident,"Mar 2, 2018","An Indigo Airbus A320-200N, registration VT-ITJ performing flight 6E-395 from Mumbai to Kolkata (India) with 166 passengers, was in the initial climb…"
"Indigo A20N at Kolkata on Jan 29th 2018, engine issue",A20N,VT-ITO,6E-6616,Jan 29th 2018,Kolkata,Kolkata,Delhi,engine issue,Incident,"Feb 13, 2018","An Indigo Airbus A320-200N, registration VT-ITO performing flight 6E-6616 from Kolkata to Delhi (India) with 174 people on board, was in the initial…"
"Indigo A20N at Mumbai on Jan 9th 2018, engine problem",A20N,VT-ITV,6E-565,Jan 9th 2018,Mumbai,Mumbai,Bangalore,engine problem,Incident,"Jan 10, 2018","An Indigo Airbus A320-200N, registration VT-ITV performing flight 6E-565 from Mumbai to Bangalore (India) with 183 people on board, was climbing out…"
"Indigo A20N at Goa on Dec 31st 2017, engine problem",A20N,VT-ITA,6E-724,Dec 31st 2017,Goa,Goa,Delhi,engine problem,Incident,"Dec 31, 2017","An Indigo Airbus A320-200N, registration VT-ITA performing flight 6E-724 from Goa to Delhi (India) with 186 people on board, was in the initial climb…"
"Indigo A320 at Mumbai on Mar 9th 2013, unreported runway excursion",A320,VT-IEW,6E-433,Mar 9th 2013,Mumbai,Chandigarh,Mumbai,unreported runway excursion,Incident,"Dec 6, 2017","An Indigo Airbus A320-200, registration VT-IEW performing flight 6E-433 from Chandigarh to Mumbai (India) with 143 passengers and 8 crew, landed on…"
"Indigo A320 at Delhi on Nov 22nd 2017, smoke in cockpit",A320,VT-IFU,6E-719,Nov 22nd 2017,Delhi,Delhi,Vishakhapatnam,smoke in cockpit,Incident,"Nov 25, 2017","An Indigo Airbus A320-200, registration VT-IFU performing flight 6E-719 from Delhi to Vishakhapatnam (India) with 170 people on board, was climbing…"
"Indigo A320 at Kolkata on Jul 14th 2015, hard landing at +3.1G",A320,VT-IEO,6E-347,Jul 14th 2015,Kolkata,Ranchi,Kolkata,hard landing at +3.1G,Report,"Nov 20, 2017","An Indigo Airbus A320-200, registration VT-IEO performing flight 6E-347 from Ranchi to Kolkata (India) with 142 passengers and 6 crew, was on…"
"Indigo A320 at Chennai on Nov 16th 2017, bird strike",A320,VT-IEI,6E-1707,Nov 16th 2017,Chennai,Chennai,Doha,bird strike,Incident,"Nov 16, 2017","An Indigo Airbus A320-200, registration VT-IEI performing flight 6E-1707 from Chennai (India) to Doha (Qatar) with 134 passengers and 7 crew,…"
"Indigo A320 at Vishakhapatnam on Nov 12th 2017, aircraft airboarne",A320,VT-IDN,6E-742,Nov 12th 2017,Vishakhapatnam,Vishakhapatnam,Hyderabad,aircraft airboarne,Incident,"Nov 14, 2017","An Indigo Airbus A320-200, registration VT-IDN performing flight 6E-742 from Vishakhapatnam to Hyderabad (India) with 159 people on board, was…"
